nombre
Agro y Ambiente
Agropecuaria
Arte Teatro
Artes visuales
Artística
Bachiller
Biol. Marina, Pesca y Acuicultura
Ciclo Básico
Ciclo Básico Agrario
Ciclo Básico Artístico
Ciclo Básico Técnico
Ciencias Naturales
Ciencias naturales, salud y medio ambiente
Comercial
Comuncación, Artes y Diseño
Comunicación
Cs. Naturales
Economía y Administración
Economía y Gestión de las Organizaciones
Educación
Educación Física
Electromecánica
Electrónica
Físico Matemática
Gestión de Serv. Turísticos
Gestión y Org. de las Adm.
Humanidades y Cs. Sociales
Industria de Procesos
Informática
Lenguas
Letras
Maestro Mayor de Obras
Producción Agropecuaria
Producción de Bienes y Servicios
Química
Técnica
Tecnología
Tecnología de los Alimentos
Turismo
